Date,p_l,g_l,right_bids,wrong_bids
2017-05-08,491.721374621,0.0147516412386,3.0,0.0
2017-05-09,974.073995635,0.0194814799127,2.0,0.0
2017-05-10,-573.922884165,-0.00573922884165,0.0,1.0
2017-05-11,180.187808607,0.00720751234429,3.0,0.0
2017-05-12,,,,
2017-05-13,,,,
2017-05-14,,,,
2017-05-15,419.026539416,0.0125707961825,2.0,0.0
2017-05-16,-46.8725712074,-0.00187490284829,2.0,2.0
2017-05-17,,,,
2017-05-18,,,,
2017-05-19,720.084788147,0.0288033915259,4.0,0.0
2017-05-20,,,,
2017-05-21,,,,
2017-05-22,-35.0593962384,-0.000701187924768,1.0,1.0
2017-05-23,,,,
2017-05-24,,,,
2017-05-25,399.814578746,0.00799629157492,1.0,0.0
2017-05-26,-764.247488499,-0.00764247488499,0.0,1.0
2017-05-27,,,,
2017-05-28,,,,
2017-05-29,,,,
2017-05-30,,,,
2017-05-31,-400.877024287,-0.00801754048575,0.0,2.0
2017-06-01,493.65592298,0.0148096776894,3.0,0.0
2017-06-02,-497.323474359,-0.0149197042308,1.0,2.0
2017-06-03,,,,
2017-06-04,,,,
2017-06-05,,,,
2017-06-06,651.403112309,0.0130280622462,2.0,0.0
2017-06-07,-98.3353443187,-0.00295006032956,2.0,1.0
2017-06-08,,,,
2017-06-09,-184.186291277,-0.00184186291277,0.0,1.0
2017-06-10,,,,
2017-06-11,,,,
2017-06-12,157.673440785,0.0031534688157,1.0,0.0
2017-06-13,101.878812635,0.00305636437905,2.0,1.0
2017-06-14,,,,
2017-06-15,460.757601992,0.0138227280598,3.0,0.0
2017-06-16,249.826647218,0.00999306588873,3.0,0.0
2017-06-17,,,,
2017-06-18,,,,
2017-06-19,-158.798175081,-0.00158798175081,0.0,1.0
2017-06-20,-33.6412997905,-0.000672825995809,0.0,2.0
2017-06-21,341.518719381,0.00683037438763,1.0,0.0
2017-06-22,72.4748194627,0.00217424458388,2.0,1.0
2017-06-23,777.542158942,0.00777542158942,1.0,0.0
2017-06-24,,,,
2017-06-25,,,,
2017-06-26,,,,
2017-06-27,312.012480499,0.00312012480499,1.0,0.0
2017-06-28,324.741395688,0.00649482791376,2.0,0.0
2017-06-29,432.562668531,0.00432562668531,1.0,0.0
2017-06-30,197.569622973,0.00395139245946,1.0,1.0
2017-07-01,,,,
2017-07-02,,,,
2017-07-03,,,,
2017-07-04,532.940298305,0.0106588059661,2.0,0.0
2017-07-05,284.031903077,0.00568063806153,2.0,0.0
2017-07-06,,,,
2017-07-07,1372.75607181,0.0137275607181,1.0,0.0
2017-07-08,,,,
2017-07-09,,,,
2017-07-10,-573.394495413,-0.00573394495413,0.0,1.0
2017-07-11,626.612605971,0.00626612605971,1.0,0.0
2017-07-12,76.2038746739,0.000762038746739,1.0,0.0
2017-07-13,433.275563258,0.00433275563258,1.0,0.0
2017-07-14,,,,
2017-07-15,,,,
2017-07-16,,,,
2017-07-17,323.624595469,0.00323624595469,1.0,0.0
2017-07-18,408.187971299,0.00816375942598,2.0,0.0
2017-07-19,-53.7655109334,-0.00107531021867,1.0,1.0
2017-07-20,460.240562047,0.00920481124093,2.0,0.0
2017-07-21,374.575675992,0.00374575675992,1.0,0.0
2017-07-22,,,,
2017-07-23,,,,
2017-07-24,568.854872492,0.0227541948997,4.0,0.0
2017-07-25,-455.315319737,-0.0136594595921,1.0,1.0
2017-07-26,-65.5016507598,-0.00196504952279,1.0,1.0
2017-07-27,167.494832608,0.00334989665216,1.0,1.0
2017-07-28,486.787204451,0.00486787204451,1.0,0.0
2017-07-29,,,,
2017-07-30,,,,
2017-07-31,597.208729549,0.0179162618865,3.0,0.0
2017-08-01,,,,
2017-08-02,332.938321765,0.00332938321765,1.0,0.0
2017-08-03,-951.945080092,-0.00951945080092,0.0,1.0
2017-08-04,,,,
2017-08-05,,,,
2017-08-06,,,,
2017-08-07,9.88205978379,0.000197641195676,1.0,1.0
2017-08-08,,,,
2017-08-09,-226.757369615,-0.00226757369615,0.0,1.0
2017-08-10,-933.433676442,-0.00933433676442,0.0,1.0
2017-08-11,,,,
2017-08-12,,,,
2017-08-13,,,,
2017-08-14,452.599682847,0.0226299841424,4.0,1.0
2017-08-15,,,,
2017-08-16,1194.49316585,0.023889863317,2.0,0.0
2017-08-17,,,,
2017-08-18,,,,
2017-08-19,,,,
2017-08-20,,,,
2017-08-21,,,,
2017-08-22,,,,
2017-08-23,96.6191280353,0.00193238256071,1.0,1.0
2017-08-24,,,,
2017-08-25,,,,
2017-08-26,,,,
2017-08-27,,,,
2017-08-28,,,,
2017-08-29,177.347457221,0.00177347457221,1.0,0.0
2017-08-30,339.584167726,0.00679168335452,2.0,0.0
2017-08-31,,,,
2017-09-01,221.433381263,0.00664300143789,2.0,1.0
2017-09-02,,,,
2017-09-03,,,,
2017-09-04,-632.218121205,-0.00632218121205,0.0,1.0
2017-09-05,-597.741864069,-0.00597741864069,0.0,1.0
2017-09-06,228.050171038,0.00228050171038,1.0,0.0
2017-09-07,222.748228762,0.00890992915049,2.0,2.0
2017-09-08,1389.491967,0.01389491967,1.0,0.0
2017-09-09,,,,
2017-09-10,,,,
2017-09-11,332.799174464,0.00998397523391,3.0,0.0
2017-09-12,-153.068402403,-0.00459205207208,2.0,1.0
2017-09-13,,,,
2017-09-14,12.50960559,0.0001250960559,1.0,0.0
2017-09-15,380.789671271,0.0114236901381,3.0,0.0
2017-09-16,,,,
2017-09-17,,,,
2017-09-18,70.2066454032,0.00491446517822,4.0,3.0
2017-09-19,1118.94316436,0.0559471582182,5.0,0.0
2017-09-20,,,,
2017-09-21,,,,
2017-09-22,,,,
2017-09-23,,,,
2017-09-24,,,,
2017-09-25,375.152541038,0.00750305082077,2.0,0.0
2017-09-26,521.235550525,0.0104247110105,2.0,0.0
2017-09-27,,,,
2017-09-28,,,,
2017-09-29,,,,
2017-09-30,,,,
2017-10-01,,,,
2017-10-02,,,,
2017-10-03,,,,
2017-10-04,,,,
2017-10-05,-3.43748925784,-3.43748925784e-05,0.0,1.0
2017-10-06,154.885953113,0.00309771906227,2.0,0.0
2017-10-07,,,,
2017-10-08,,,,
2017-10-09,584.273310071,0.00584273310071,1.0,0.0
2017-10-10,1380.15447601,0.0138015447601,1.0,0.0
2017-10-11,415.624344702,0.0166249737881,4.0,0.0
2017-10-12,372.729916344,0.0111818974903,3.0,0.0
2017-10-13,,,,
2017-10-14,,,,
2017-10-15,,,,
2017-10-16,-217.464156666,-0.00869856626666,1.0,3.0
2017-10-17,168.081231955,0.00504243695865,2.0,1.0
2017-10-18,,,,
2017-10-19,,,,
2017-10-20,,,,
2017-10-21,,,,
2017-10-22,,,,
2017-10-23,967.906265919,0.00967906265919,1.0,0.0
2017-10-24,661.524111362,0.0198457233409,3.0,0.0
2017-10-25,164.371069543,0.00657484278174,2.0,0.0
2017-10-26,450.591046199,0.00901182092397,2.0,0.0
2017-10-27,572.611893409,0.0171783568023,3.0,0.0
2017-10-28,,,,
2017-10-29,,,,
2017-10-30,94.6802076468,0.00378720830587,4.0,0.0
2017-10-31,819.468587037,0.00819468587037,1.0,0.0
2017-11-01,341.222302051,0.00682444604101,2.0,0.0
2017-11-02,240.453987704,0.00721361963111,2.0,1.0
2017-11-03,-415.738696884,-0.00831477393768,1.0,1.0
2017-11-04,,,,
2017-11-05,,,,
2017-11-06,330.807127137,0.00661614254273,2.0,0.0
2017-11-07,642.398286938,0.00642398286938,1.0,0.0
2017-11-08,1617.07680231,0.0323415360462,2.0,0.0
2017-11-09,151.943068476,0.00911658410858,2.0,4.0
2017-11-10,-405.921698718,-0.00811843397435,0.0,1.0
2017-11-11,,,,
2017-11-12,,,,
2017-11-13,-160.199359203,-0.00320398718405,0.0,1.0
2017-11-14,-281.106672585,-0.00281106672585,0.0,1.0
2017-11-15,-192.131747484,-0.00192131747484,0.0,1.0
2017-11-16,159.078705236,0.00477236115707,2.0,0.0
2017-11-17,144.832548652,0.00724162743259,2.0,3.0
2017-11-18,,,,
2017-11-19,,,,
2017-11-20,,,,
2017-11-21,-18.9051232884,-0.000189051232884,0.0,1.0
2017-11-22,-49.6912046568,-0.000496912046568,0.0,1.0
2017-11-23,412.847185597,0.00825694371194,1.0,1.0
2017-11-24,43.5413642961,0.000435413642961,1.0,0.0
2017-11-25,,,,
2017-11-26,,,,
2017-11-27,524.934383202,0.00524934383202,1.0,0.0
2017-11-28,425.079702444,0.00425079702444,1.0,0.0
2017-11-29,,,,
2017-11-30,1295.63630732,0.0259127261463,2.0,0.0
2017-12-01,,,,
2017-12-02,,,,
2017-12-03,,,,
2017-12-04,371.547253283,0.0111464175985,2.0,0.0
2017-12-05,,,,
2017-12-06,,,,
2017-12-07,377.69253199,0.0151077012796,3.0,1.0
2017-12-08,201.989516156,0.00807958064624,3.0,1.0
2017-12-09,,,,
2017-12-10,,,,
2017-12-11,,,,
2017-12-12,,,,
2017-12-13,,,,
2017-12-14,-169.17701802,-0.00338354036041,1.0,1.0
2017-12-15,-267.205515187,-0.0080161654556,0.0,2.0
2017-12-16,,,,
2017-12-17,,,,
2017-12-18,-45.1263537906,-0.000451263537906,0.0,1.0
2017-12-19,43.4396671397,0.00260638002838,3.0,2.0
2017-12-20,91.8266761312,0.00183653352262,2.0,0.0
2017-12-21,518.872723573,0.00518872723573,1.0,0.0
2017-12-22,395.673041412,0.0197836520706,5.0,0.0
2017-12-23,,,,
2017-12-24,,,,
2017-12-25,,,,
2017-12-26,62.3856268128,0.00311928134064,4.0,1.0
2017-12-27,491.431552427,0.0147429465728,1.0,2.0
2017-12-28,-334.145943917,-0.0133658377567,0.0,4.0
2017-12-29,309.59096023,0.0340550056253,8.0,2.0
