Date,Open,High,Low,Close,Volume,Symbol
2016-01-01,1028.9,1036.8,1020.5,1027.0,450719.0,JSWSTEEL
2016-01-04,1023.0,1061.0,1018.3,1044.7,1212775.0,JSWSTEEL
2016-01-05,1056.1,1091.35,1052.25,1083.1,1420518.0,JSWSTEEL
2016-01-06,1083.0,1097.0,1052.0,1058.2,801545.0,JSWSTEEL
2016-01-07,1035.25,1046.0,1022.55,1026.35,530463.0,JSWSTEEL
2016-01-08,1034.9,1047.65,1026.0,1041.15,731567.0,JSWSTEEL
2016-01-11,1029.05,1032.7,1008.25,1019.65,526139.0,JSWSTEEL
2016-01-12,1024.9,1030.15,1002.5,1012.8,590977.0,JSWSTEEL
2016-01-13,1019.5,1024.9,980.3,1003.7,1057211.0,JSWSTEEL
2016-01-14,987.0,1017.95,974.3,1003.45,706247.0,JSWSTEEL
2016-01-15,1011.0,1012.9,967.5,972.45,572368.0,JSWSTEEL
2016-01-18,973.55,1018.0,953.0,990.95,945020.0,JSWSTEEL
2016-01-19,996.95,1010.0,982.9,998.55,639729.0,JSWSTEEL
2016-01-20,982.6,1044.9,976.15,1023.85,786810.0,JSWSTEEL
2016-01-21,1035.6,1044.4,997.0,1025.35,945459.0,JSWSTEEL
2016-01-22,1036.0,1073.45,1029.2,1068.0,858673.0,JSWSTEEL
2016-01-25,1070.0,1114.75,1060.1,1107.25,1486073.0,JSWSTEEL
2016-01-27,1105.0,1127.0,1104.25,1121.25,1562561.0,JSWSTEEL
2016-01-28,1107.5,1112.05,1088.0,1092.2,1693475.0,JSWSTEEL
2016-01-29,1086.0,1101.9,1042.4,1057.05,1199253.0,JSWSTEEL
2016-02-01,1041.6,1071.85,1032.8,1050.55,1332594.0,JSWSTEEL
2016-02-02,1052.05,1060.45,998.95,1003.3,983535.0,JSWSTEEL
2016-02-03,984.4,1029.0,958.35,973.4,1734323.0,JSWSTEEL
2016-02-04,978.2,1021.6,970.6,1010.7,992134.0,JSWSTEEL
2016-02-05,1016.25,1043.5,1008.0,1037.05,1001506.0,JSWSTEEL
2016-02-08,1065.0,1082.0,1045.0,1050.1,1220004.0,JSWSTEEL
2016-02-09,1039.5,1055.0,996.7,1000.0,911624.0,JSWSTEEL
2016-02-10,995.0,1039.75,986.4,1022.55,1240920.0,JSWSTEEL
2016-02-11,1016.35,1028.0,987.0,1001.6,1465288.0,JSWSTEEL
2016-02-12,1011.25,1016.4,950.0,1005.5,1436945.0,JSWSTEEL
2016-02-15,1018.0,1057.5,1016.0,1041.4,946788.0,JSWSTEEL
2016-02-16,1050.05,1053.8,1024.0,1033.7,709492.0,JSWSTEEL
2016-02-17,1030.1,1054.65,998.1,1047.5,779988.0,JSWSTEEL
2016-02-18,1059.55,1062.0,1036.75,1056.8,784979.0,JSWSTEEL
2016-02-19,1050.0,1087.5,1045.55,1083.5,839307.0,JSWSTEEL
2016-02-22,1089.05,1106.0,1075.2,1102.7,732973.0,JSWSTEEL
2016-02-23,1095.0,1144.4,1095.0,1124.0,1869117.0,JSWSTEEL
2016-02-24,1111.05,1134.45,1105.0,1109.5,837411.0,JSWSTEEL
2016-02-25,1112.0,1138.9,1111.0,1125.65,2805584.0,JSWSTEEL
2016-02-26,1125.0,1126.0,1090.6,1099.1,591827.0,JSWSTEEL
2016-02-29,1104.0,1145.0,1099.0,1126.45,905467.0,JSWSTEEL
2016-03-01,1130.0,1152.6,1126.0,1143.45,1028270.0,JSWSTEEL
2016-03-02,1152.0,1167.0,1127.3,1133.25,931681.0,JSWSTEEL
2016-03-03,1142.0,1166.8,1136.2,1159.8,1070175.0,JSWSTEEL
2016-03-04,1161.1,1197.85,1152.0,1185.45,1224355.0,JSWSTEEL
2016-03-08,1193.95,1206.85,1176.0,1186.25,814229.0,JSWSTEEL
2016-03-09,1165.05,1185.5,1159.9,1180.05,636614.0,JSWSTEEL
2016-03-10,1184.0,1204.5,1175.85,1185.9,784170.0,JSWSTEEL
2016-03-11,1180.0,1197.45,1177.0,1183.55,601443.0,JSWSTEEL
2016-03-14,1186.0,1197.9,1176.0,1180.9,613263.0,JSWSTEEL
2016-03-15,1180.0,1201.0,1173.05,1195.0,847523.0,JSWSTEEL
2016-03-16,1200.0,1207.8,1185.2,1200.1,642086.0,JSWSTEEL
2016-03-17,1211.5,1220.85,1197.0,1202.4,883390.0,JSWSTEEL
2016-03-18,1205.0,1217.0,1199.0,1212.9,662715.0,JSWSTEEL
2016-03-21,1208.05,1222.0,1198.35,1215.95,565112.0,JSWSTEEL
2016-03-22,1211.0,1238.2,1202.0,1230.15,609097.0,JSWSTEEL
2016-03-23,1235.0,1253.15,1226.75,1248.7,830556.0,JSWSTEEL
2016-03-28,1240.0,1249.0,1217.7,1226.9,416166.0,JSWSTEEL
2016-03-29,1230.0,1244.0,1221.65,1232.85,489374.0,JSWSTEEL
2016-03-30,1250.0,1277.0,1236.5,1271.7,685846.0,JSWSTEEL
2016-03-31,1262.0,1294.0,1258.0,1283.25,1231652.0,JSWSTEEL
2016-04-01,1271.35,1277.3,1251.0,1262.65,677382.0,JSWSTEEL
2016-04-04,1266.0,1270.75,1246.1,1259.75,559915.0,JSWSTEEL
2016-04-05,1252.1,1267.35,1240.0,1259.45,643801.0,JSWSTEEL
2016-04-06,1260.0,1298.0,1256.0,1292.7,1118328.0,JSWSTEEL
2016-04-07,1295.0,1297.65,1275.15,1277.3,523994.0,JSWSTEEL
2016-04-08,1272.0,1283.0,1265.15,1273.4,471400.0,JSWSTEEL
2016-04-11,1277.4,1303.45,1270.0,1299.75,688329.0,JSWSTEEL
2016-04-12,1299.2,1309.95,1288.2,1297.7,724645.0,JSWSTEEL
2016-04-13,1305.1,1319.0,1295.75,1313.55,736025.0,JSWSTEEL
2016-04-18,1312.2,1339.9,1307.3,1334.25,523582.0,JSWSTEEL
2016-04-20,1346.65,1366.9,1338.1,1361.6,851853.0,JSWSTEEL
2016-04-21,1362.0,1372.0,1346.7,1349.6,894707.0,JSWSTEEL
2016-04-22,1355.0,1364.0,1341.0,1343.3,609456.0,JSWSTEEL
2016-04-25,1342.1,1354.25,1325.2,1345.2,483557.0,JSWSTEEL
2016-04-26,1346.0,1370.9,1343.95,1367.95,773052.0,JSWSTEEL
2016-04-27,1360.0,1371.4,1352.1,1362.6,489612.0,JSWSTEEL
2016-04-28,1368.0,1376.2,1353.55,1368.45,1007559.0,JSWSTEEL
2016-04-29,1360.0,1380.0,1352.3,1373.2,721196.0,JSWSTEEL
2016-05-02,1370.0,1376.0,1360.6,1364.8,517070.0,JSWSTEEL
2016-05-03,1365.05,1374.1,1353.1,1356.8,531626.0,JSWSTEEL
2016-05-04,1345.0,1349.0,1316.0,1321.7,544395.0,JSWSTEEL
2016-05-05,1325.1,1334.5,1309.5,1319.9,631903.0,JSWSTEEL
2016-05-06,1314.15,1327.3,1309.1,1320.1,515234.0,JSWSTEEL
2016-05-09,1326.55,1340.0,1315.0,1326.15,492832.0,JSWSTEEL
2016-05-10,1320.0,1325.0,1275.5,1287.8,669767.0,JSWSTEEL
2016-05-11,1270.0,1300.55,1263.55,1291.35,603574.0,JSWSTEEL
2016-05-12,1288.9,1296.85,1276.65,1282.7,438089.0,JSWSTEEL
2016-05-13,1277.05,1283.0,1263.0,1268.7,427591.0,JSWSTEEL
2016-05-16,1267.4,1299.4,1253.55,1295.6,396632.0,JSWSTEEL
2016-05-17,1300.0,1308.0,1283.0,1290.0,456472.0,JSWSTEEL
2016-05-18,1285.0,1320.9,1280.0,1309.3,1060680.0,JSWSTEEL
2016-05-19,1324.5,1343.9,1312.25,1320.2,1004017.0,JSWSTEEL
2016-05-20,1318.0,1330.3,1301.0,1305.0,326484.0,JSWSTEEL
2016-05-23,1314.9,1328.0,1294.0,1318.55,661358.0,JSWSTEEL
2016-05-24,1320.0,1324.9,1309.0,1320.15,594215.0,JSWSTEEL
2016-05-25,1324.0,1336.55,1297.15,1300.35,494178.0,JSWSTEEL
2016-05-26,1307.0,1325.0,1301.0,1318.95,760894.0,JSWSTEEL
2016-05-27,1323.0,1380.0,1313.1,1375.65,875284.0,JSWSTEEL
2016-05-30,1378.0,1393.0,1357.8,1371.95,517306.0,JSWSTEEL
2016-05-31,1371.0,1403.0,1361.7,1389.15,1060547.0,JSWSTEEL
2016-06-01,1396.0,1405.0,1370.4,1374.8,647214.0,JSWSTEEL
2016-06-02,1370.4,1388.95,1358.1,1379.3,515190.0,JSWSTEEL
2016-06-03,1379.25,1389.65,1362.3,1370.25,447505.0,JSWSTEEL
2016-06-06,1370.0,1378.9,1350.65,1369.45,604395.0,JSWSTEEL
2016-06-07,1375.05,1386.95,1360.05,1377.15,625349.0,JSWSTEEL
2016-06-08,1381.9,1399.85,1370.4,1395.1,614309.0,JSWSTEEL
2016-06-09,1394.1,1419.7,1386.0,1416.45,805335.0,JSWSTEEL
2016-06-10,1416.3,1433.5,1405.0,1418.7,952620.0,JSWSTEEL
2016-06-13,1393.0,1408.0,1388.0,1400.25,598662.0,JSWSTEEL
2016-06-14,1393.0,1411.0,1391.0,1406.15,584777.0,JSWSTEEL
2016-06-15,1410.3,1413.85,1395.15,1400.15,400812.0,JSWSTEEL
2016-06-16,1402.0,1410.35,1380.0,1407.25,651604.0,JSWSTEEL
2016-06-17,1412.1,1417.45,1390.1,1395.05,437933.0,JSWSTEEL
2016-06-20,1384.9,1406.5,1384.0,1402.25,643591.0,JSWSTEEL
2016-06-21,1402.0,1407.5,1392.1,1400.7,407618.0,JSWSTEEL
2016-06-22,1404.7,1404.7,1385.35,1391.3,355071.0,JSWSTEEL
2016-06-23,1393.7,1405.45,1381.6,1401.35,507376.0,JSWSTEEL
2016-06-24,1382.2,1394.35,1330.1,1383.2,614419.0,JSWSTEEL
2016-06-27,1387.9,1395.0,1377.4,1386.0,620785.0,JSWSTEEL
2016-06-28,1387.8,1432.6,1383.55,1426.5,610590.0,JSWSTEEL
2016-06-29,1428.0,1448.0,1427.25,1444.6,537141.0,JSWSTEEL
2016-06-30,1456.0,1475.0,1440.0,1464.35,692858.0,JSWSTEEL
2016-07-01,1475.1,1485.0,1457.7,1463.3,632394.0,JSWSTEEL
2016-07-04,1464.0,1477.7,1450.0,1473.6,383582.0,JSWSTEEL
2016-07-05,1475.0,1488.95,1465.25,1481.25,406094.0,JSWSTEEL
2016-07-07,1470.1,1485.0,1458.9,1463.25,619505.0,JSWSTEEL
2016-07-08,1468.0,1481.0,1460.5,1476.95,429686.0,JSWSTEEL
2016-07-11,1488.0,1511.6,1486.1,1508.75,428813.0,JSWSTEEL
2016-07-12,1510.0,1550.0,1507.0,1541.3,580484.0,JSWSTEEL
2016-07-13,1545.5,1564.95,1544.0,1556.95,617757.0,JSWSTEEL
2016-07-14,1556.95,1583.45,1545.0,1575.15,623596.0,JSWSTEEL
2016-07-15,1580.0,1653.25,1575.05,1636.05,1263769.0,JSWSTEEL
2016-07-18,1632.7,1656.45,1600.0,1606.05,957264.0,JSWSTEEL
2016-07-19,1614.45,1634.4,1603.3,1628.2,688355.0,JSWSTEEL
2016-07-20,1631.0,1635.9,1616.2,1619.5,435905.0,JSWSTEEL
2016-07-21,1624.0,1629.85,1606.25,1612.25,447190.0,JSWSTEEL
2016-07-22,1605.0,1624.7,1590.1,1613.0,408543.0,JSWSTEEL
2016-07-25,1610.0,1633.0,1605.0,1628.45,413313.0,JSWSTEEL
2016-07-26,1628.0,1671.8,1628.0,1659.35,688516.0,JSWSTEEL
2016-07-27,1671.95,1761.3,1666.0,1739.3,2645002.0,JSWSTEEL
2016-07-28,1737.7,1746.0,1681.0,1684.35,1310379.0,JSWSTEEL
2016-07-29,1694.0,1705.0,1665.0,1675.2,595406.0,JSWSTEEL
2016-08-01,1685.0,1702.45,1643.25,1689.65,836521.0,JSWSTEEL
2016-08-02,1693.0,1702.0,1661.15,1674.9,663622.0,JSWSTEEL
2016-08-03,1697.0,1712.5,1675.05,1686.0,718334.0,JSWSTEEL
2016-08-04,1691.0,1716.15,1686.0,1709.9,849530.0,JSWSTEEL
2016-08-05,1722.0,1742.0,1717.1,1737.7,730491.0,JSWSTEEL
2016-08-08,1745.25,1756.9,1722.4,1728.1,538219.0,JSWSTEEL
2016-08-09,1733.0,1739.8,1695.6,1710.1,538246.0,JSWSTEEL
2016-08-10,1710.0,1719.95,1682.8,1709.35,590546.0,JSWSTEEL
2016-08-11,1715.0,1717.95,1686.0,1710.65,484453.0,JSWSTEEL
2016-08-12,1710.2,1733.0,1708.6,1728.05,422064.0,JSWSTEEL
2016-08-16,1731.95,1754.15,1715.4,1748.0,632857.0,JSWSTEEL
2016-08-17,1748.5,1776.0,1740.1,1773.45,659906.0,JSWSTEEL
2016-08-18,1777.75,1793.4,1770.5,1783.8,348494.0,JSWSTEEL
2016-08-19,1786.7,1799.0,1772.0,1788.1,514705.0,JSWSTEEL
2016-08-22,1785.0,1793.7,1761.2,1767.85,335603.0,JSWSTEEL
2016-08-23,1760.0,1775.6,1736.4,1758.45,306186.0,JSWSTEEL
2016-08-24,1757.75,1763.55,1746.55,1759.65,223442.0,JSWSTEEL
2016-08-25,1762.0,1772.0,1739.1,1745.4,709017.0,JSWSTEEL
2016-08-26,1745.0,1760.5,1732.05,1756.05,327020.0,JSWSTEEL
2016-08-29,1754.0,1777.0,1749.0,1773.15,246848.0,JSWSTEEL
2016-08-30,1775.1,1792.75,1774.0,1781.15,254245.0,JSWSTEEL
2016-08-31,1778.0,1788.0,1746.2,1753.1,502317.0,JSWSTEEL
2016-09-01,1752.15,1778.0,1738.1,1772.75,305705.0,JSWSTEEL
2016-09-02,1773.0,1787.8,1760.2,1777.4,221381.0,JSWSTEEL
2016-09-06,1782.0,1876.0,1781.0,1862.55,670601.0,JSWSTEEL
2016-09-07,1874.1,1874.1,1840.0,1851.55,457055.0,JSWSTEEL
2016-09-08,1864.0,1885.95,1842.55,1848.8,379193.0,JSWSTEEL
2016-09-09,1859.95,1859.95,1810.15,1823.8,347030.0,JSWSTEEL
2016-09-12,1800.0,1800.0,1736.7,1745.05,593548.0,JSWSTEEL
